player_name,rank
Novak Djokovic,1  
Jannik Sinner,2  
Carlos Alcaraz,3  
Alexander Zverev,4  
Daniil Medvedev,5  
Andrey Rublev,6  
Casper Ruud,7  
Hubert Hurkacz,8  
Stefanos Tsitsipas,9  
Grigor Dimitrov,10  
Alex De Minaur,11  
Taylor Fritz,12  
Holger Rune,13  
Tommy Paul,14  
Ben Shelton,15  
Nicolas Jarry,16  
Ugo Humbert,17  
Karen Khachanov,18  
Alexander Bublik,19  
Sebastian Baez,20  
Felix Auger-Aliassime,21  
Adrian Mannarino,22  
Francisco Cerundolo,23  
Alejandro Tabilo,25  
Frances Tiafoe,26  
Tallon Griekspoor,27  
Denis Shapovalov,27  
Sebastian Korda,28  
Tomas Martin Etcheverry,29  
Arthur Fils,30  
Lorenzo Musetti,31  
Mariano Navone,32  
Cameron Norrie,33  
Jack Draper,35  
Matteo Arnaldi,36  
Jordan Thompson,37  
Gael Monfils,38  
Jan-Lennard Struff,39  
Roman Safiullin,40  
Fabian Marozsan,41  
Zhizhen Zhang,42  
Christopher Eubanks,43  
Tomas Machac,44  
Sebastian Ofner,45  
Nuno Borges,46  
Luciano Darderi,47  
Marcos Giron,48  
Kei Nishikori,48  
Pedro Martinez,49  
Lorenzo Sonego,50  
Alexei Popyrin,51  
Laslo Djere,52  
Marton Fucsovics,53  
Facundo Diaz Acosta,54  
Miomir Kecmanovic,55  
Flavio Cobolli,56  
Pavel Kotov,57  
Thiago Seyboth Wild,58  
Dusan Lajovic,59  
Daniel Evans,60  
Alexander Shevchenko,61  
Roberto Carballes Baena,62  
Jaume Munar,63  
Christopher O’Connell,64  
Alex Michelsen,65  
Emil Ruusuvuori,66  
Brandon Nakashima,68  
Federico Coria,69  
Luca Nardi,70  
Borna Coric,71  
Yoshihito Nishioka,72  
Arthur Rinderknech,73  
Mackenzie McDonald,74  
Jakub Mensik,76  
Arthur Cazaux,77  
Rinky Hijikata,78  
Roberto Bautista Agut,80  
Soonwoo Kwon,80  
Taro Daniel,81  
Aslan Karatsev,82  
Daniel Altmaier,83  
Thiago Monteiro,84  
Yannick Hanfmann,85  
Constant Lestienne,86  
Francisco Comesana,87  
Aleksandar Kovacevic,88  
Juncheng Shang,89  
Alexandre Muller,90  
Fabio Fognini,91  
Max Purcell,92  
Aleksandar Vukic,93  
Sumit Nagal,94  
Dominic Stricker,94  
Adam Walton,95  
Matteo Berrettini,96  
Stan Wawrinka,97  
Thanasi Kokkinakis,98  
Maximilian Marterer,99  
Botic van de Zandschulp,100  
Luca Van Assche,101  
Zizou Bergs,102  
James Duckworth,103  
Hugo Gaston,104  
Daniel Elahi Galan,105  
Cristian Garin,112  
David Goffin,115  
Giovanni Mpetshi Perricard,117  
Vit Kopriva,127  
Lloyd Harris,128  
Felipe Meligeni Alves,136  
Radu Albot,139  
Liam Broady,147  
Otto Virtanen,156  
Lucas Pouille,165  
Mattia Bellucci,173  
Jan Choinski,180  
Elias Ymer,182  
Quentin Halys,187  
Alejandro Moro Canas,190  
Billy Harris,202  
Mark Lajal,207  
Maxime Janvier,221  
Alex Bolt,239  
Arthur Fery,246  
Charles Broom,285  
Paul Jubb,323  
Jacob Fearnley,510  
Henry Searle,631  
