player_name,rank
Giovanni Mpetshi Perricard, 66
Hugo Gaston, 88
Luca Van Assche, 103
Zizou Bergs, 104
James Duckworth, 105
Daniel Elahi Galan, 106
Pedro Cachin, 108
Thiago Agustin Tirante, 109
Camilo Ugo Carabelli, 110
Gregoire Barrere, 112
Cristian Garin, 113
David Goffin, 115
Lukas Klein, 119
Facundo Bagnis, 120
Terence Atmane, 121
Harold Mayot, 122
Zachary Svajda, 123
Richard Gasquet, 124
Stefano Napolitano, 125
Emilio Nava, 126
Vit Kopriva, 127
Damir Dzumhur, 128
Duje Ajdukovic, 129
Nicolas Moreno De Alboran, 130
Lloyd Harris, 132
Titouan Droguet, 133
Francesco Passaro, 134
Hamad Medjedovic, 135
Mikhail Kukushkin, 136
Felipe Meligeni Alves, 137
Matteo Gigante, 138
Jurij Rodionov, 139
Radu Albot, 140
Diego Schwartzman, 141
Pierre-Hugues Herbert, 142
Roman Andres Burruchaga, 144
Jozef Kovalik, 145
Tim Van Rijthoven, 148
Benjamin Hassan, 149
Patrick Kypson, 150
Leandro Riedi, 151
Alexis Galarneau, 153
Zsombor Piros, 154
Benoit Paire, 155
Otto Virtanen, 156
Tomas Barrios Vera, 157
Andrea Pellegrino, 159
Ugo Blanchet, 160
Denis Kudla, 161
Shintaro Mochizuki, 162
Rudolf Molleker, 163
Oriol Roca Batalla, 164
Lucas Pouille, 165
Gabriel Diallo, 166
Denis Yevseyev, 167
Hugo Dellien, 168
Marco Trungelliti, 169
Andrea Vavassori, 170
Beibit Zhukayev, 171
Benjamin Bonzi, 172
Mattia Bellucci, 173
Gustavo Heide, 174
Maxime Cressy, 175
Jesper De Jong, 176
Matteo Martineau, 177
Coleman Wong, 181
Elias Ymer, 182
Jaime Faria, 183
Alexander Ritschard, 184
Hugo Grenier, 185
Tristan Schoolkate, 186
Quentin Halys, 187
Genaro Alberto Olivieri, 188
Yunchaokete Bu, 189
Alejandro Moro Canas, 190
Seongchan Hong, 191
Dalibor Svrcina, 192
Nick Hardt, 193
Marc-Andrea Huesler, 194
Vitaliy Sachko, 195
Joris De Loore, 197
Valentin Royer, 198
Timofey Skatov, 199
Marc Polmans, 200
Stefano Travaglia, 202
Henrique Rocha, 203
Dino Prizmic, 204
Francesco Maestrelli, 205
Omar Jasika, 206
Dennis Novak, 207
Enzo Couacaud, 208
Yasutaka Uchiyama, 210
Li Tu, 211
Mark Lajal, 213
Ryan Peniston, 215
Illya Marchenko, 216
Maxime Janvier, 217
Nicolas Kicker, 217
Oliver Crawford, 218
Bernabe Zapata Miralles, 219
Nerman Fatic, 220
Henri Squire, 221
Murkel Dellien, 222
Sho Shimabukuro, 223
Tristan Boyer, 224
Manuel Guinard, 225
Juan Pablo Ficovich, 226
Franco Agamenone, 227
Lukas Neumayer, 228
Yu Hsiou Hsu, 229
Joao Fonseca, 230
Antoine Escoffier, 231
Kyrian Jacquet, 232
Aziz Dougaz, 233
Clement Tabur, 234
Adrian Andreev, 235
Daniel Rincon, 236
Dane Sweeney, 237
Philip Sekulic, 238
Jiri Vesely, 239
Alex Bolt, 240
Jules Marie, 242
Felix Gill, 311
Jay Clarke, 356
Anton Matusevich, 446
George Loffhagen, 541
Stuart Parker, 552
Jack Pinnington Jones, 769
